fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-03-17,AYDS-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,LENGUAJE UNIFICADO MODELADO (UML),02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,105,99,EN LINEA
2022-03-17,ETMO-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,ESTUDIO DEL TRABAJO II,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,55,51,EN LINEA
2022-03-17,MATF-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MATEMÁTICA FINANCIERA,05,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,128,122,EN LINEA
2022-03-17,PUB2-H,Facultad de Ciencias Sociales,COMUNICACIONES,PUBLICIDAD II,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,71,67,EN LINEA
2022-03-17,PPT2-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICO-PATOLOGÍA II,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,125,122,EN LINEA
2022-03-17,DEL1-D,Facultad de Derecho,DERECHO,DERECHO LABORAL I,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,71,61,EN LINEA
2022-03-17,DEL1-D,Facultad de Derecho,DERECHO,DERECHO LABORAL I,02,17:00-18:30,Ma-Jue,PRIMERA,DIFERIDA,71,3,EN LINEA
2022-03-17,TCOM-H,Facultad de Ciencias Sociales,COMUNICACIONES,TEORÍA DE LA COMUNICACIÓN,03,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,41,40,EN LINEA
2022-03-17,TETU-T,Facultad de Ciencias Empresariales,NEGOCIOS,TEORÍA TURÍSTICA,03,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,40,39,EN LINEA
2022-03-17,DIPC-I,Facultad de Ciencias Sociales,IDIOMAS,DISEÑO E IMPLEMENTACIÓN DE PLANES DE CLASES,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,27,24,EN LINEA
2022-03-17,DINA-DG,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA ARQUITECTURA,DIBUJO NATURAL,05,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,29,26,EN LINEA
2022-03-17,EDAV-C,Facultad de Ciencias Sociales,COMUNICACIONES,EDICIÓN DE AUDIO Y VIDEO,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,47,45,EN LINEA
2022-03-17,PREP-E,Facultad de Ciencias Empresariales,NEGOCIOS,PRESUPUESTO DE LA EMPRESA PRIVADA,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,49,39,EN LINEA
2022-03-17,PSF1-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOFISIOLOGÍA,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,126,122,EN LINEA
